chromosome	start	end	cn	cn1	cn2
1	17176158	17197008	0	0	0
1	17197508	17281508	0	0	0
1	17281885	17286818	1		
1	17288239	17301849	2	2	0
1	17302073	17331940	1	1	0
1	17331943	17556691	2	2	0
1	17557075	17601249	3	3	0
1	17601749	17634124	3	3	0
1	17634624	17671954	1	1	0
1	17672454	17746789	2	2	0
1	17747289	17963797	3	3	0
1	17964297	19209935	2	2	0
1	19210435	19322620	6	6	0
1	19322620	19403492	2	2	0
1	19403504	19427201	1	1	0
1	19428015	19431656	3		
1	19432075	19443947	3	3	0
1	19444218	19454820	3	3	0
1	19455432	19505647	3	3	0
1	19505648	19544427	2	2	0
1	19544432	19583555	3	3	0
1	19583560	19585459	3	3	0
1	19585739	19654612	1	1	0
1	19654814	19711565	2	2	0
1	19712065	19933945	3	2	1
1	19934445	20235322	2	2	0
1	20235322	20248220	1	1	0
1	20248720	20303958	3	3	0
1	20304458	20440315	3	3	0
1	20440320	20469423	1	1	0
1	20469923	20637321	6	6	0
1	20637821	20674084	2	2	0
1	20674584	20809540	3	3	0
1	20809543	21040118	2	2	0
1	21040618	21041498	2		
1	21041998	21050975	3	2	1
1	21050979	21100679	1	1	0
1	21100856	21175405	2	2	0
1	21175905	21275897	5	5	0
1	21276397	21345513	7	7	0
1	21345513	21503434	3	3	0
1	21503934	21551275	2	2	0
1	21551775	21573202	1	1	0
1	21573702	21625432	2	1	1
1	21625436	21731133	3	3	0
1	21731133	21795396	0	0	0
1	21795896	21800034	1	1	0
1	21801433	21807549	5	5	0
1	21808067	21886555	3	3	0
1	21887055	22030177	2	2	0
1	22030752	22051600	6	6	0
1	22054324	22073663	1	1	0
1	22074574	22138911	6	6	0
1	22138920	22147257	1	1	0
1	22147757	22154326	1	1	0
1	22154345	22163554	0	0	0
1	22164054	22186811	0	0	0
1	22186814	22201771	3	3	0
1	22202143	22210386	0	0	0
1	22210886	22329609	3	3	0
1	22330109	22407471	3	3	0
1	22407971	22417332	3	2	1
1	22417794	22557250	1	1	0
1	22557250	22685593	3	2	1
1	22685593	22846704	3	3	0
1	22847949	22857665	3	3	0
1	22858165	22924384	1	1	0
1	22924561	22927836	2	1	1
1	22928071	22986181	3	3	0
1	22987181	23231989	2	2	0
1	23232489	23240996	2	2	0
1	23240996	23370233	2	2	0
1	23370733	23650376	3	3	0
1	23650876	23692890	2	2	0
1	23693390	23953645	3	3	0
1	23953650	24111596	2	2	0
1	24112096	24131086	3	3	0
1	24131586	24220943	2	2	0
1	24220943	24255055	3	3	0
1	24255555	24382914	10	10	0
1	24383140	24387645	3	3	0
1	24387685	24390720	3	3	0
1	24392312	24398567	1	1	0
1	24399067	24408736	3	3	0
1	24409099	24420837	3	3	0
1	24421337	24482620	2	2	0
1	24482620	24663654	3	3	0
1	24663996	24952640	2	2	0
1	24952640	24981397	5	5	0
1	24981487	24987821	8		
1	24987826	24998682	0	0	0
1	24999182	25123744	3	3	0
1	25124244	25169202	3	2	1
1	25169207	25234075	2	2	0
1	25234575	25349448	6	6	0
1	25349948	25476647	2	2	0
1	25476647	25550957	1	1	0
1	25551457	25558650	2		
1	25558898	25573984	6	6	0
1	25574484	25598543	1		
1	25599043	25608531	0	0	0
1	25609031	25610494	0	0	0
1	25610994	25655710	0	0	0
1	25656210	25677565	3		
1	25678065	25687997	3	3	0
1	25687998	25710600	2	2	0
1	25711100	25785424	3	3	0
1	25785924	26112703	3	3	0
1	26113203	26161461	2	1	1
1	26161476	26372405	6	6	0
1	26373117	26379762	6	6	0
1	26380262	26452073	1	1	0
1	26452573	26498021	2	2	0
1	26498026	26509190	3	3	0
1	26509499	26584287	3	3	0
1	26584640	26598751	3	3	0
1	26599251	26609314	9	9	0
1	26609319	26623640	2	2	0
1	26623646	26632559	2	2	0
1	26633059	26736704	3	3	0
1	26737204	26753842	2		
1	26754002	26772322	0	0	0
1	26772822	26783750	3	3	0
1	26784250	26881821	6	6	0
1	26881909	26953463	2	2	0
1	26953463	27182221	6	6	0
1	27182491	27212940	3	3	0
1	27213440	27227050	3	3	0
1	27227550	27247645	2	2	0
1	27249096	27272624	1		
1	27272768	27278993	2	2	0
1	27279493	27440776	3	3	0
1	27441276	27614516	3	3	0
1	27615016	27634737	6	6	0
1	27635237	27661429	0	0	0
1	27661839	27677437	6	6	0
1	27677693	27688867	2	2	0
1	27689018	27998796	6	6	0
1	27999296	28086214	2	2	0
1	28086557	28218843	3	3	0
1	28220400	28293679	2	2	0
1	28294179	28597554	5	5	0
1	28598054	28806467	2		
1	28806967	28893116	1	1	0
1	28893616	28903528	0	0	0
1	28904028	29064233	5	5	0
1	29064736	29162363	3	3	0
1	29162363	29220414	0	0	0
1	29220914	29320087	3		
1	29320587	29344928	3	3	0
1	29345428	29632251	2	2	0
1	29633562	29674497	1	1	0
1	29674997	30245149	2	2	0
1	30245149	31057279	1	1	0
1	31057279	31147516	1		
1	31147516	31195783	6	6	0
1	31196283	31210601	1	1	0
1	31211846	31422079	6	6	0
1	31422820	31439209	2	2	0
1	31439911	31538813	6	6	0
1	31539313	31764263	2	2	0
1	31764763	31898282	3	3	0
1	31898516	32100616	2	2	0
1	32100777	32163006	6	6	0
1	32163365	32204528	2	2	0
1	32204861	32230674	1	1	0
1	32231174	32258031	2	2	0
1	32258162	32637841	3	3	0
1	32637845	32646903	7	7	0
1	32646904	32669684	6	6	0
1	32669686	32673906	7	7	0
1	32674185	32689760	6	6	0
1	32689887	32793407	2	2	0
1	32794672	32833641	3	3	0
1	32833771	32935629	3	3	0
1	32936129	33001288	1	1	0
1	33001788	33117753	2	2	0
1	33118253	33134820	1	1	0
1	33135569	33145484	3	3	0
1	33146068	33263426	3	3	0
1	33263926	33282865	3	3	0
1	33282870	33321759	0	0	0
1	33321764	33328554	6	6	0
1	33328555	33612722	3	3	0
1	33612759	33642193	3	3	0
1	33642693	33745210	0	0	0
1	33745710	33759945	1	1	0
1	33760445	33938401	6	6	0
1	33938901	34043306	2	2	0
1	34043806	34118034	3	3	0
1	34118534	34192390	3	3	0
1	34192414	34517312	3	3	0
1	34517312	35062736	2	2	0
1	35062736	35351192	3	3	0
1	35351721	35458007	2	2	0
1	35458507	35558909	3	3	0
1	35559409	35650346	2	2	0
1	35652561	35870082	6	6	0
1	35870582	35900717	2	2	0
1	35901217	35919267	3		
1	35919981	35972386	7		
1	35972387	36053411	6	6	0
1	36053911	36101359	2		
1	36101859	36273263	6	6	0
1	36274690	36299785	2	2	0
1	36300285	36385693	3	3	0
1	36385695	36411485	8	8	0
1	36411985	36501245	6	6	0
1	36501745	36553599	2	2	0
1	36553627	36561608	3	3	0
1	36561611	36605791	7	7	0
1	36606291	36883696	6	6	0
1	36883718	36925790	2	2	0
1	36926290	37270384	3	3	0
1	37270387	37285480	2	2	0
1	37285980	37792839	1	1	0
1	37792839	37941398	2		
1	37941401	38021898	5	5	0
1	38022398	38055833	2	2	0
1	38056333	38197210	3	3	0
1	38197710	38227185	3	3	0
1	38227189	38261586	1	1	0
1	38262277	38269312	3		
1	38269317	38279338	3	3	0
1	38279340	38301441	2	2	0
1	38301941	38350850	6	6	0
1	38351350	38393929	3	2	1
1	38394429	38465171	3	3	0
1	38465671	38483514	2	2	0
1	38484125	38554354	3	3	0
1	38554854	39303330	2	2	0
1	39303830	39347272	3	3	0
1	39347772	39470597	2	2	0
1	39472198	39568697	5	5	0
1	39568720	39670856	7		
1	39671356	39749257	6	6	0
1	39749516	39766054	2	2	0
1	39766554	39895087	6	6	0
1	39895390	39903386	1	1	0
1	39903387	39913859	2	2	0
1	39914263	40029614	2	2	0
1	40030136	40098416	3	3	0
1	40098916	40205968	2	2	0
1	40206969	40236965	1	1	0
1	40237465	40306209	3	3	0
1	40306709	40322281	3	3	0
1	40322781	40366153	8	8	0
1	40366153	40915196	3	3	0
1	40916345	40928491	2	1	1
1	40928659	41012677	0	0	0
1	41012716	41067974	3	2	1
1	41067974	41215403	6	6	0
1	41218747	41296304	3	2	1
1	41296804	41306111	3	3	0
1	41306611	41475305	2	2	0
1	41475763	42024154	3	3	0
1	42024154	42049869	3	3	0
1	42049872	42875793	3	3	0
1	42875798	42914392	2	2	0
1	42915614	42955778	6	4	2
1	42955792	43107629	2	2	0
1	43108129	43166723	3	3	0
1	43167223	43241429	2	2	0
1	43241929	43263666	6	5	1
1	43263692	43304663	9	8	1
1	43305624	43310060	6	6	0
1	43310111	43354602	2	2	0
1	43354602	43462134	6	6	0
1	43462134	43554681	3	3	0
1	43554681	43632638	1	1	0
1	43632715	43687972	2	2	0
1	43688513	43771060	6	6	0
1	43772488	43805291	2	2	0
1	43805619	43868952	3	3	0
1	43869124	43909595	2	2	0
1	43910095	44011043	3	3	0
1	44011543	44034788	2	2	0
1	44035288	44075159	1	1	0
1	44075659	44132833	2	2	0
1	44133401	44159880	1	1	0
1	44160190	44166512	3	3	0
1	44167012	44415909	3	3	0
1	44416409	44435131	2	2	0
1	44435631	44441861	3	3	0
1	44441866	44532172	2	2	0
1	44532172	44584619	1	1	0
1	44585264	44749153	3	3	0
1	44749653	45079948	3	3	0
1	45080448	45116649	2	2	0
1	45116654	45140564	3	3	0
1	45141064	45242506	2	2	0
1	45243161	45346751	3	3	0
1	45347251	45472453	3	3	0
1	45472456	45479990	3	3	0
1	45480020	45800198	2	2	0
1	45800698	45960672	3	3	0
1	45960684	45974015	7	7	0
1	45974477	46026875	3	3	0
1	46027375	46057084	2	2	0
1	46057584	46072185	3	3	0
1	46072190	46085938	2	2	0
1	46085944	46347449	3	2	1
1	46347949	46491576	3	3	0
1	46493266	46661725	6	6	0
1	46662423	46733349	3	3	0
1	46733849	47024354	3	3	0
1	47024441	47030177	3	3	0
1	47030677	47045509	0	0	0
1	47046009	47051015	3	3	0
1	47051515	47072863	3	3	0
1	47073363	47099094	8	8	0
1	47099096	47277007	6	6	0
1	47277851	47564228	2	2	0
1	47564728	47838177	3	3	0
1	47838677	48481850	2	2	0
1	48481850	48688631	1	1	0
1	48689131	48694635	3	3	0
1	48694643	48761308	6	6	0
1	48761382	48771641	2	2	0
1	48772141	48861077	3	3	0
1	48865008	48902920	8	8	0
1	48902925	49730053	6	6	0
1	49730053	50532665	2	2	0
1	50532665	50723139	6	6	0
1	50723139	50907314	2	2	0
1	50907814	51357766	6	6	0
1	51357766	51439912	8	8	0
1	51439914	51567227	3		
1	51567727	51701384	2		
1	51702447	51755862	6	6	0
1	51756177	51771785	7	7	0
1	51771810	51928818	6	6	0
1	51929318	51934302	3		
1	51934802	52024372	3		
1	52024372	52135327	9	9	0
1	52135362	52205936	3	3	0
1	52206436	52241904	2	2	0
1	52242404	52378121	5	4	1
1	52378276	52493092	2	2	0
1	52494151	52521953	3	3	0
1	52522453	52548371	2		
1	52548871	52607434	1	1	0
1	52608636	52681484	0	0	0
1	52681984	52761605	6	5	1
1	52761610	52812036	3	3	0
1	52812270	52933996	3	3	0
1	52934496	52947619	7	7	0
1	52948119	53137629	3	3	0
1	53137629	53207357	3	3	0
1	53207357	53320363	1	1	0
1	53320863	53373808	2	2	0
1	53374308	53419850	3	3	0
1	53420350	53555785	2	2	0
1	53556282	53574201	0	0	0
1	53574212	53600200	3		
1	53600700	53792657	3	3	0
1	53792867	54252239	2	2	0
1	54252739	54332061	6	6	0
1	54332455	54356280	2	2	0
1	54356780	54423213	6	6	0
1	54423713	54483281	2	2	0
1	54483733	54510515	3	3	0
1	54510517	54554432	9		
1	54554932	54570541	2	2	0
1	54571041	54703119	2	2	0
1	54703619	55063088	6	6	0
1	55063588	55103989	3	3	0
1	55104294	55223239	3	3	0
1	55223243	55253583	3	3	0
1	55253697	55318088	3	3	0
1	55319052	55470569	2	2	0
1	55470583	55526594	3	3	0
1	55527094	55547172	2	2	0
1	55548870	56270887	6	6	0
1	56270887	56923631	2	2	0
1	56923631	57683904	3	3	0
1	57683904	58088701	2	1	1
1	58088701	58359253	3		
1	58359253	58667472	2	2	0
1	58667472	60336179	6	6	0
1	60336679	60377955	2	2	0
1	60381538	61437022	5	5	0
1	61437022	61648754	8	7	1
1	61648754	62393525	3	3	0
1	62394025	62544691	2	2	0
1	62545116	62588845	3	3	0
1	62589345	62718157	3	3	0
1	62718657	62957808	3	3	0
1	62958308	62973054	9	9	0
1	62973554	63003764	3	3	0
1	63005223	63024932	3		
1	63027913	63067607	3	3	0
1	63067950	63096390	7	7	0
1	63096890	63792667	3	3	0
1	63793167	63915510	3	3	0
1	63920029	64100594	3	3	0
1	64100597	64276630	2	2	0
1	64276630	64706828	6	6	0
1	64707328	64807177	3	3	0
1	64807177	65242820	5	5	0
1	65243320	65280558	2	1	1
1	65281058	65304332	3	2	1
1	65305212	65332860	2	1	1
1	65333360	65559949	6	5	1
1	65559949	65695760	3	3	0
1	65695765	65881099	3	3	0
1	65881150	66058549	2	2	0
1	66062099	66091998	6	6	0
1	66094861	66275911	3	3	0
1	66275911	66439427	3		
1	66439427	66834693	7	7	0
1	66835193	67097942	6	5	1
1	67098442	67161183	7	7	0
1	67161683	67473591	3	3	0
1	67474091	67518793	7	7	0
1	67519489	67756985	3	3	0
1	67756985	67804461	9	9	0
1	67804961	67851685	3	2	1
1	67852185	67875048	3	3	0
1	67875102	68610347	6	5	1
1	68611536	68697485	6	6	0
1	68697851	68910387	6	5	1
1	68910391	68948059	7	7	0
1	68948063	69126646	3		
1	69126646	69507545	2		
1	69507545	69870306	2		
1	69870306	70226097	2	2	0
1	70226597	70397325	1	1	0
1	70397825	70446142	6		
1	70446642	70476961	3	3	0
1	70477461	70502335	8	8	0
1	70503728	70650599	5	5	0
1	70652911	70699882	3	3	0
1	70700382	70718722	0	0	0
1	70719222	70735891	6	6	0
1	70736391	71533479	3	3	0
1	71534878	71654342	7		
1	71654342	72419709	6	6	0
1	72419709	72656393	1		
1	72656393	72966562	3	3	0
1	72966562	73547364	2		
1	73547364	73855915	1	1	0
1	73855915	73982966	1		
1	73982966	74291517	6		
1	74291517	74506426	2	2	0
1	74506926	74592641	3		
1	74592641	74669546	9	8	1
1	74670046	74701213	2	2	0
1	74701764	74819143	2	2	0
1	74819583	74837345	6	6	0
1	74837348	74884082	8	8	0
1	74884582	75100610	6	6	0
1	75101962	75188975	7	7	0
1	75190398	75231339	5	5	0
1	75231343	75323069	3	2	1
1	75323069	75575586	1		
1	75575586	75600009	3	2	1
1	75600509	77096081	5	5	0
1	77096081	77387408	2	2	0
1	77387408	77588073	3	2	1
1	77588573	77676238	2	2	0
1	77676738	77876881	3	3	0
1	77877381	78043936	2	1	1
1	78044436	78195651	3	2	1
1	78196296	78309165	3	3	0
1	78309665	78353749	1	1	0
1	78354249	78389451	3		
1	78389951	78956228	3	3	0
1	78956851	79128645	3	3	0
1	79129244	79357449	3	3	0
1	79357470	80205173	2	2	0
1	80205173	80405901	2		
1	80405901	80570134	0	0	0
1	80570134	80789110	2		
1	80789110	80972438	1	1	0
1	80972438	81281109	1		
1	81281109	81371895	2		
1	81371895	81662409	6		
1	81662409	82301996	3	3	0
1	82302496	82433911	3	2	1
1	82434853	82457447	2	2	0
1	82457451	83349862	3	2	1
1	83349862	83930807	2		
1	83930807	84148661	3		
1	84148661	84257588	2		
1	84257588	84352941	1	1	0
1	84352943	84365299	1	1	0
1	84365799	84377071	7	7	0
1	84377571	84403051	8	8	0
1	84403551	84464007	5	5	0
1	84465325	84702663	2	2	0
1	84702663	84767523	6	6	0
1	84767527	84863680	7	7	0
1	84864180	84981464	3	3	0
1	84981964	85036427	2	1	1
1	85036927	85424380	3	3	0
1	85424880	85495007	2	2	0
1	85495507	86119108	3	3	0
1	86119259	86201937	3	3	0
1	86201940	86375756	5	5	0
1	86376998	86468090	7	7	0
1	86468090	86808876	3	3	0
1	86809376	86836838	1	1	0
1	86841928	86951252	6	5	1
1	86952157	87181540	2	2	0
1	87182040	87210554	3		
1	87210554	87345793	3	3	0
1	87346293	87530333	3	3	0
1	87530833	87574568	2	2	0
1	87574569	87690383	3	3	0
1	87690383	87812001	8	8	0
1	87812002	87906406	7		
1	87906406	88162317	1		
1	88162317	88728977	6		
1	88728977	89294335	2	2	0
1	89294606	89356628	3	3	0
1	89357128	89426324	3		
1	89426824	89473291	6	6	0
1	89473296	89477499	1	1	0
1	89477637	89503265	1	1	0
1	89503265	89646662	2	2	0
1	89648016	89847256	3	3	0
1	89847278	90045282	2	2	0
1	90045782	90309417	3	3	0
1	90309917	90439085	3	3	0
1	90439085	90473383	6	6	0
1	90475626	90493040	6	6	0
1	90493143	90620269	7	7	0
1	90620269	90745886	2		
1	90745886	90961229	1		
1	90961229	91122737	2		
1	91122737	91467413	3	3	0
1	91467413	91561419	3		
1	91561419	91731052	0	0	0
1	91731552	91781734	0	0	0
1	91781897	91790452	2	2	0
1	91790952	91815740	2	1	1
1	91816240	91844057	6	6	0
1	91844638	91946953	1	1	0
1	91946953	92263157	3	3	0
1	92263657	92371564	2		
1	92372064	92457970	1	1	0
1	92459590	92495060	3	3	0
1	92498038	92546353	6	6	0
1	92546853	92573636	1		
1	92574136	92637051	1	1	0
1	92637551	92682978	3	3	0
1	92683478	92762473	1	1	0
1	92762973	92801325	2	2	0
1	92802518	92973705	3	3	0
1	92974205	92978408	0	0	0
1	92978733	93101918	2	2	0
1	93102418	93163553	1	1	0
1	93167688	93296993	3	3	0
1	93297493	93309802	3	3	0
1	93310977	93649681	3	3	0
1	93651888	93671246	1		
1	93672682	93722104	2	2	0
1	93724265	93736310	2		
1	93736810	94012557	6	6	0
1	94012835	94055206	2	2	0
1	94057685	94335688	3	3	0
1	94336237	94458965	3	3	0
1	94461665	94578778	3	3	0
1	94579278	94638436	3	3	0
1	94638441	94685258	3	3	0
1	94685758	94721656	3		
1	94721656	94924247	1	1	0
1	94924747	94940810	6		
1	94941127	94965238	3	3	0
1	94965738	95137034	2	2	0
1	95137034	95302787	3	3	0
1	95303287	95310998	2	1	1
1	95311498	95358116	2	2	0
1	95358616	95363510	0	0	0
1	95363515	95492128	6	6	0
1	95492628	96166763	2	2	0
1	96166763	97004748	1	1	0
1	97004748	97113986	2		
1	97113986	97336989	3	3	0
1	97336989	97898466	2	2	0
1	97898466	98187232	3	3	0
1	98187732	98330297	2		
1	98330297	98891714	3	3	0
1	98891714	99157300	2	2	0
1	99157800	99336911	3	3	0
1	99336911	99563207	2	2	0
1	99563207	100327999	3	3	0
1	100328499	100346365	2	2	0
1	100346615	100488453	3	3	0
1	100488965	100573564	2	2	0
1	100575867	100615789	3	3	0
1	100617927	100634151	2		
1	100634651	100684335	1	1	0
1	100684835	100715420	3		
1	100715920	100961704	3	3	0
1	100963467	100984137	2	2	0
1	100984142	101025719	1	1	0
1	101025719	101167027	1		
1	101167027	101194983	6	6	0
1	101196704	101340052	2	2	0
1	101340552	101361949	6	6	0
1	101362085	101377796	0	0	0
1	101379178	101437271	1	1	0
1	101437771	101443316	3	3	0
1	101443576	101487301	6	6	0
1	101487801	101705577	7	7	0
1	101705580	102070148	6		
1	102070148	102197060	2		
1	102197060	102290871	1	1	0
1	102291371	102499721	2	1	1
1	102499721	103356122	1	1	0
1	103356622	103444753	2	2	0
1	103444802	103477387	3	3	0
1	103477887	103831593	3	3	0
1	103832093	104087805	5	5	0
1	104089485	104108235	3	3	0
1	104114238	104159576	0	0	0
1	104160076	104374590	0	0	0
1	104374590	104465668	3		
1	104465668	104611392	2	2	0
1	104611392	105959344	1	1	0
1	105959344	106760829	0	0	0
1	106760829	107325511	1		
1	107325511	107453020	2		
1	107453020	107761749	3	2	1
1	107761749	108024632	2	2	0
1	108024704	108226181	3	3	0
1	108230984	108307191	3	3	0
1	108307691	108679481	5	5	0
1	108679981	108724652	3	3	0
1	108725152	108899456	6	6	0
1	108899456	108922208	6	6	0
1	108922519	108997144	0	0	0
1	108998069	109007323	7		
1	109007823	109180679	3	3	0
1	109180843	109196831	3	3	0
1	109197331	109256241	3	3	0
1	109256741	109324515	2	2	0
1	109325015	109339359	3	3	0
1	109340718	109362574	5	5	0
1	109363074	109385865	1	1	0
1	109386365	109446893	2	2	0
1	109447393	109484230	1	1	0
1	109486106	109559588	2	2	0
1	109560088	109608889	2		
1	109609389	109635642	2	2	0
1	109635651	109672980	5	5	0
1	109672980	109707260	3	3	0
1	109707760	109739596	1	1	0
1	109740096	109756811	3	3	0
1	109757311	109778876	3	3	0
1	109778935	109780767	3	3	0
1	109781267	109800576	2	2	0
1	109801076	109801417	0	0	0
1	109801422	109807986	0	0	0
1	109808330	109812445	1	1	0
1	109812446	109814923	1	1	0
1	109814924	109825838	6	6	0
1	109826338	109867033	2	2	0
1	109867533	109898222	1	1	0
1	109898722	109939703	1	1	0
1	109941637	110037922	3	3	0
1	110038260	110087727	6	6	0
1	110087727	110129583	6	3	3
1	110130083	110141754	3	3	0
1	110142254	110153085	3	2	1
1	110153090	110164196	10	9	1
1	110164707	110169577	3	3	0
1	110169832	110201946	2	2	0
1	110202040	110216076	3	3	0
1	110217314	110293135	2	2	0
1	110293257	110304263	3	3	0
1	110304311	110458349	3	2	1
1	110459875	110560251	3	3	0
1	110560479	110580667	3	3	0
1	110581272	110587620	1	1	0
1	110587621	110656583	3	3	0
1	110657083	110768699	1	1	0
1	110768703	110775457	3	3	0
1	110775475	110856216	5	5	0
1	110856216	110884545	8	7	1
1	110884621	110922075	3	3	0
1	110923594	110949092	3	3	0
1	110949602	111060263	1	1	0
1	111060404	111391173	2	1	1
1	111391222	111436217	7	7	0
1	111436717	111506682	2	1	1
1	111507182	111732085	3	3	0
1	111734704	111772644	7	7	0
1	111773280	111784974	6	6	0
1	111784982	111833491	2	2	0
1	111833991	111858173	1	1	0
1	111858226	111863258	0	0	0
1	111863758	111984744	6	6	0
1	111985152	111992330	7	7	0
1	111992332	112323547	5	5	0
1	112324047	112488550	2		
1	112488550	112648346	1		
1	112648346	112775176	1		
